date,brand,channel,campaign_id,campaign_name,spend,impressions,clicks,platform_reported_purchases,platform_reported_revenue,currency,reporting_timezone,attribution_window,reporting_basis,data_status,synthetic
2026-08-24,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-24,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,4,800,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-24,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-25,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-25,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,4,800,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-25,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-26,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-26,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,4,800,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-26,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-27,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-27,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,4,800,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-27,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,2,400,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-28,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-28,Sable & Sage,Google Ads,SS-GOOGLE-01,Brand and product search,150,15000,150,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-28,Sable & Sage,TikTok Ads,SS-TIKTOK-01,Small-space styling,50,5000,50,1,200,USD,Africa/Nairobi,7-day click,conversion date,complete,true
2026-08-29,Sable & Sage,Meta Ads,SS-META-01,Autumn collection discovery,100,10000,100,3,600,USD,Africa/Nairobi,7-day click,conversion date,complete,true
